season,team,REB,AST,STL,BLK,TOV,PTS
2010,Atlanta Hawks,89.91,84.87,85.51,72.34,79.6,86.84
2010,Boston Celtics,93.6,97.49,87.92,75.95,91.26,89.79
2010,Brooklyn Nets,91.93,81.16,74.15,79.9,83.68,85.91
2010,Charlotte Hornets,92.96,89.78,85.39,93.81,100.0,84.93
2010,Chicago Bulls,98.76,89.98,93.48,100.0,91.32,91.94
2010,Cleveland Cavaliers,94.56,83.02,79.95,75.09,78.11,87.97
2010,Dallas Mavericks,94.7,91.88,87.2,83.51,80.83,91.58
2010,Denver Nuggets,94.91,89.28,97.71,89.52,91.32,95.71
2010,Detroit Pistons,92.91,83.51,73.55,73.54,74.68,85.18
2010,Golden State Warriors,95.5,90.27,98.43,95.36,93.26,96.73
2010,Houston Rockets,97.68,88.66,84.18,81.96,89.7,90.98
2010,Indiana Pacers,98.72,86.85,83.94,98.28,89.83,93.02
2010,Los Angeles Clippers,92.13,89.74,82.0,87.97,95.6,87.03
2010,Los Angeles Lakers,100.0,91.38,98.31,88.83,83.1,94.58
2010,Memphis Grizzlies,90.71,76.05,100.0,83.85,94.75,86.46
2010,Miami Heat,92.91,83.43,88.65,92.96,78.43,90.11
2010,Milwaukee Bucks,91.93,85.53,89.01,74.4,83.55,87.59
2010,Minnesota Timberwolves,98.94,83.72,79.35,79.55,95.92,90.72
2010,New Orleans Pelicans,92.57,81.82,87.08,71.48,78.04,85.99
2010,New York Knicks,95.09,86.31,91.3,72.85,89.51,95.99
2010,Oklahoma City Thunder,97.11,83.8,97.34,84.19,95.14,91.23
2010,Orlando Magic,96.93,80.38,78.38,80.07,88.41,89.61
2010,Philadelphia 76ers,93.23,85.0,94.44,82.47,81.61,88.51
2010,Phoenix Suns,94.27,99.26,87.44,81.79,95.98,100.0
2010,Portland Trail Blazers,94.82,84.71,86.96,81.27,80.51,88.22
2010,Sacramento Kings,92.75,79.68,82.73,78.52,95.4,90.52
2010,San Antonio Spurs,96.1,90.4,85.02,75.43,75.32,90.63
2010,Toronto Raptors,94.45,90.64,81.88,69.76,89.18,90.81
2010,Utah Jazz,91.95,100.0,98.67,82.47,84.65,93.22
2010,Washington Wizards,91.51,81.16,97.83,87.29,94.11,87.0
2011,Atlanta Hawks,93.22,79.97,74.86,75.13,70.49,90.44
2011,Boston Celtics,85.97,85.46,89.5,79.66,85.78,89.12
2011,Brooklyn Nets,90.31,74.33,71.62,74.62,82.71,85.44
2011,Charlotte Hornets,92.77,80.46,83.91,100.0,89.79,89.03
2011,Chicago Bulls,100.0,80.88,72.18,91.76,83.27,92.54
2011,Cleveland Cavaliers,95.2,85.5,76.09,81.34,82.21,93.76
2011,Dallas Mavericks,90.31,89.21,89.61,79.33,76.69,93.91
2011,Denver Nuggets,93.35,79.36,97.21,80.34,84.34,97.47
2011,Detroit Pistons,88.74,78.8,82.35,62.52,78.2,87.26
2011,Golden State Warriors,88.92,86.18,100.0,66.39,82.58,99.32
2011,Houston Rockets,94.32,82.51,77.77,68.24,86.4,94.73
2011,Indiana Pacers,92.7,82.36,84.92,86.72,84.9,93.86
2011,Los Angeles Clippers,94.41,83.23,67.26,88.24,93.61,88.01
2011,Los Angeles Lakers,98.2,75.54,77.43,86.72,77.32,92.27
2011,Memphis Grizzlies,97.5,70.39,89.16,84.37,89.79,93.37
2011,Miami Heat,95.63,73.31,90.61,98.15,80.7,89.03
2011,Milwaukee Bucks,97.72,79.93,81.56,82.86,76.5,89.54
2011,Minnesota Timberwolves,96.13,76.98,76.87,64.03,100.0,92.05
2011,New Orleans Pelicans,90.61,83.87,85.92,60.84,78.95,92.52
2011,New York Knicks,89.82,81.41,77.77,58.82,82.02,94.11
2011,Oklahoma City Thunder,98.92,77.24,89.61,100.0,90.35,94.92
2011,Orlando Magic,96.73,74.78,67.6,93.61,83.96,93.7
2011,Philadelphia 76ers,93.62,82.05,89.39,84.03,87.16,90.28
2011,Phoenix Suns,97.23,85.95,65.14,90.76,83.15,100.0
2011,Portland Trail Blazers,89.57,78.99,76.87,71.26,68.42,91.53
2011,Sacramento Kings,96.26,75.12,73.97,74.62,87.03,89.23
2011,San Antonio Spurs,96.31,82.66,71.28,75.13,78.63,92.43
2011,Toronto Raptors,90.72,86.29,65.36,73.95,81.33,95.22
2011,Utah Jazz,96.91,100.0,98.44,88.74,88.91,96.95
2011,Washington Wizards,91.8,72.62,63.02,84.87,88.16,86.14
2012,Atlanta Hawks,87.56,92.37,76.48,65.88,82.09,89.47
2012,Boston Celtics,85.65,97.13,89.15,58.97,85.69,89.83
2012,Brooklyn Nets,91.23,93.87,68.53,71.32,81.72,89.65
2012,Charlotte Hornets,90.2,87.91,70.57,78.68,78.81,89.13
2012,Chicago Bulls,97.4,95.16,74.65,79.56,81.9,90.06
2012,Cleveland Cavaliers,92.14,87.4,78.95,60.15,90.98,90.23
2012,Dallas Mavericks,91.09,97.3,77.12,66.91,87.83,94.63
2012,Denver Nuggets,98.57,97.9,82.71,78.82,89.53,99.79
2012,Detroit Pistons,91.11,90.66,72.93,64.26,80.26,91.42
2012,Golden State Warriors,94.36,96.83,87.11,70.29,88.15,97.6
2012,Houston Rockets,96.73,100.0,81.95,60.44,84.93,100.0
2012,Indiana Pacers,99.55,82.68,73.58,84.71,92.43,92.42
2012,Los Angeles Clippers,93.15,97.99,92.59,82.65,93.25,95.16
2012,Los Angeles Lakers,99.1,91.68,77.77,79.26,82.6,94.9
2012,Memphis Grizzlies,94.43,89.33,100.0,84.12,83.67,92.84
2012,Miami Heat,90.29,86.71,77.98,75.44,85.62,95.36
2012,Milwaukee Bucks,91.97,87.61,89.8,83.09,80.64,88.65
2012,Minnesota Timberwolves,100.0,89.11,80.99,71.76,100.0,92.86
2012,New Orleans Pelicans,89.21,89.03,75.19,70.29,78.69,88.88
2012,New York Knicks,89.7,89.5,85.93,69.12,74.09,98.76
2012,Oklahoma City Thunder,98.19,89.28,81.53,100.0,90.23,99.45
2012,Orlando Magic,97.61,91.34,70.78,69.85,91.17,92.13
2012,Philadelphia 76ers,92.93,97.34,83.67,67.79,75.09,92.35
2012,Phoenix Suns,90.8,99.87,76.58,73.53,82.47,95.72
2012,Portland Trail Blazers,88.72,89.46,85.93,64.41,80.52,91.76
2012,Sacramento Kings,96.15,89.24,85.93,67.5,95.78,94.58
2012,San Antonio Spurs,93.08,99.14,80.45,67.65,85.69,97.9
2012,Toronto Raptors,89.15,94.9,75.83,71.18,81.72,92.06
2012,Utah Jazz,91.5,98.29,82.71,91.47,90.16,93.39
2012,Washington Wizards,95.84,83.84,81.42,84.71,90.86,89.49
2013,Atlanta Hawks,89.38,98.69,89.69,59.89,93.45,94.42
2013,Boston Celtics,86.46,91.84,82.13,68.58,94.6,89.04
2013,Brooklyn Nets,86.83,85.58,80.37,53.07,96.02,91.34
2013,Charlotte Hornets,87.18,83.63,67.76,72.19,88.72,85.57
2013,Chicago Bulls,100.0,95.3,74.01,76.2,94.6,90.45
2013,Cleveland Cavaliers,92.57,82.57,77.96,55.48,98.58,90.6
2013,Dallas Mavericks,91.68,91.54,95.72,67.91,92.23,94.69
2013,Denver Nuggets,95.84,97.5,82.89,72.86,98.24,98.73
2013,Detroit Pistons,90.49,81.22,84.32,61.63,99.19,90.8
2013,Golden State Warriors,90.01,95.69,85.53,72.73,98.78,96.35
2013,Houston Rockets,93.74,88.07,82.79,70.19,98.24,97.22
2013,Indiana Pacers,94.74,81.26,83.44,73.53,93.32,94.23
2013,Los Angeles Clippers,90.32,90.27,94.19,64.97,87.31,95.44
2013,Los Angeles Lakers,97.66,92.77,67.0,75.67,97.77,94.1
2013,Memphis Grizzlies,91.27,84.26,97.48,65.24,91.63,91.19
2013,Miami Heat,86.85,86.55,95.18,68.18,96.08,96.05
2013,Milwaukee Bucks,91.27,95.3,87.06,70.86,94.73,93.5
2013,Minnesota Timberwolves,96.21,88.11,81.69,53.61,95.61,97.04
2013,New Orleans Pelicans,90.45,91.71,86.07,69.25,95.48,90.58
2013,New York Knicks,89.19,84.64,100.0,56.42,96.83,93.11
2013,Oklahoma City Thunder,95.91,82.19,85.86,100.0,100.0,99.86
2013,Orlando Magic,91.49,84.86,79.28,56.02,96.49,91.33
2013,Philadelphia 76ers,94.32,92.43,88.6,65.91,85.15,91.52
2013,Phoenix Suns,91.46,90.99,79.61,73.26,96.02,96.91
2013,Portland Trail Blazers,91.4,91.29,79.61,62.97,91.9,97.04
2013,Sacramento Kings,92.37,84.39,93.42,60.83,93.92,96.04
2013,San Antonio Spurs,92.59,100.0,82.13,60.43,91.63,100.0
2013,Toronto Raptors,91.92,85.11,72.37,63.77,96.69,90.01
2013,Utah Jazz,94.15,89.55,85.31,73.93,94.33,93.71
2013,Washington Wizards,91.18,86.89,89.36,77.41,99.12,92.42
2014,Atlanta Hawks,89.05,100.0,88.72,64.4,87.05,93.59
2014,Boston Celtics,90.3,93.97,90.61,65.41,88.99,93.51
2014,Brooklyn Nets,94.3,82.42,81.79,64.54,87.23,92.45
2014,Charlotte Hornets,88.75,78.71,73.3,74.53,76.53,88.32
2014,Chicago Bulls,96.01,89.41,73.18,78.58,84.17,90.99
2014,Cleveland Cavaliers,89.27,87.73,83.69,64.98,80.6,94.04
2014,Dallas Mavericks,92.39,95.09,88.83,78.73,77.1,99.74
2014,Denver Nuggets,98.44,94.01,100.0,82.05,89.8,100.0
2014,Detroit Pistons,93.86,85.62,84.36,67.44,88.05,90.05
2014,Golden State Warriors,98.86,93.53,84.58,72.79,93.8,97.52
2014,Houston Rockets,96.01,87.89,93.07,67.0,100.0,98.36
2014,Indiana Pacers,100.0,80.06,73.18,76.85,89.49,89.92
2014,Los Angeles Clippers,90.46,96.36,92.85,72.07,81.85,96.93
2014,Los Angeles Lakers,95.57,87.65,78.99,71.2,84.11,96.49
2014,Memphis Grizzlies,93.09,85.18,90.28,69.61,75.91,90.64
2014,Miami Heat,82.06,86.26,97.43,72.65,80.66,93.69
2014,Milwaukee Bucks,94.6,92.57,93.41,81.77,90.93,94.63
2014,Minnesota Timberwolves,88.7,90.25,99.55,63.1,87.61,91.43
2014,New Orleans Pelicans,93.68,84.66,76.2,78.87,80.66,92.47
2014,New York Knicks,88.07,77.39,85.03,52.97,78.1,90.91
2014,Oklahoma City Thunder,97.92,80.98,84.36,100.0,89.17,96.74
2014,Orlando Magic,91.53,86.5,74.97,58.18,86.98,89.19
2014,Philadelphia 76ers,91.07,88.33,92.96,69.32,92.87,87.18
2014,Phoenix Suns,93.11,88.13,90.84,71.35,96.75,93.52
2014,Portland Trail Blazers,94.21,90.73,68.16,64.4,87.92,94.7
2014,Sacramento Kings,92.5,83.06,83.24,56.15,92.43,96.53
2014,San Antonio Spurs,92.74,96.0,87.49,79.31,86.23,95.76
2014,Toronto Raptors,89.62,84.7,81.56,65.7,79.85,96.05
2014,Utah Jazz,91.4,87.22,86.7,84.52,87.48,91.84
2014,Washington Wizards,94.23,92.93,84.13,67.15,90.24,91.93
2015,Atlanta Hawks,84.73,95.92,95.89,71.13,85.77,92.1
2015,Boston Celtics,93.4,90.34,90.68,68.35,86.55,91.34
2015,Brooklyn Nets,85.41,82.8,97.78,60.85,84.2,90.39
2015,Charlotte Hornets,91.62,88.77,71.14,86.95,69.6,92.62
2015,Chicago Bulls,98.03,90.42,79.69,93.64,80.64,89.42
2015,Cleveland Cavaliers,95.5,88.1,76.03,56.44,79.67,91.51
2015,Dallas Mavericks,90.12,89.83,84.35,62.97,77.44,95.85
2015,Denver Nuggets,96.38,89.51,83.13,85.15,92.82,95.5
2015,Detroit Pistons,100.0,79.38,89.46,68.03,81.12,93.47
2015,Golden State Warriors,97.15,100.0,91.01,88.91,86.97,100.0
2015,Houston Rockets,95.18,85.86,95.56,85.32,93.79,98.35
2015,Indiana Pacers,93.32,76.59,80.69,74.39,85.22,89.47
2015,Los Angeles Clippers,90.9,95.68,90.46,82.38,77.62,98.66
2015,Los Angeles Lakers,87.87,90.81,85.35,78.3,85.28,93.83
2015,Memphis Grizzlies,89.22,85.19,91.01,74.39,77.8,88.98
2015,Miami Heat,82.16,79.93,85.79,81.89,80.28,90.89
2015,Milwaukee Bucks,86.89,88.53,76.14,78.96,86.01,89.56
2015,Minnesota Timberwolves,93.14,91.12,90.34,69.49,83.05,96.13
2015,New Orleans Pelicans,87.64,81.5,81.24,96.74,80.16,91.35
2015,New York Knicks,90.38,78.52,75.25,79.61,78.29,91.71
2015,Oklahoma City Thunder,95.37,84.21,89.12,100.0,89.57,98.25
2015,Orlando Magic,91.37,85.94,88.35,73.57,83.66,90.22
2015,Philadelphia 76ers,89.07,79.65,100.0,80.59,100.0,87.9
2015,Phoenix Suns,92.1,77.26,94.67,65.09,91.31,96.36
2015,Portland Trail Blazers,99.19,84.41,64.04,70.8,84.56,95.04
2015,Sacramento Kings,96.7,79.62,80.58,65.25,93.12,93.72
2015,San Antonio Spurs,94.07,97.68,86.13,86.13,80.94,96.74
2015,Toronto Raptors,91.88,81.15,84.13,68.84,77.99,93.09
2015,Utah Jazz,89.27,76.28,82.02,71.62,82.21,88.99
2015,Washington Wizards,89.8,90.22,89.68,70.47,84.68,92.26
2016,Atlanta Hawks,88.91,87.51,96.76,76.0,86.12,91.32
2016,Boston Celtics,91.12,85.06,86.38,59.04,75.14,91.98
2016,Brooklyn Nets,91.78,73.69,77.3,68.0,89.76,90.92
2016,Charlotte Hornets,96.69,75.45,69.73,89.44,70.45,87.98
2016,Chicago Bulls,98.17,74.11,75.57,87.04,77.91,89.19
2016,Cleveland Cavaliers,94.84,75.38,77.41,70.24,81.92,94.46
2016,Dallas Mavericks,86.83,73.69,87.14,63.2,76.06,89.08
2016,Denver Nuggets,96.62,79.17,82.16,68.32,87.48,93.26
2016,Detroit Pistons,94.24,76.32,80.76,67.52,74.58,89.16
2016,Golden State Warriors,95.52,100.0,98.59,94.56,86.37,100.0
2016,Houston Rockets,93.86,84.29,96.65,79.36,95.0,97.75
2016,Indiana Pacers,92.97,77.2,79.03,78.24,83.1,90.64
2016,Los Angeles Clippers,92.73,83.48,87.35,78.72,74.83,96.85
2016,Los Angeles Lakers,94.2,72.71,79.24,63.68,85.81,88.98
2016,Memphis Grizzlies,91.61,72.85,94.92,71.52,80.75,86.64
2016,Miami Heat,90.82,71.34,76.86,86.56,83.47,86.27
2016,Milwaukee Bucks,91.54,85.69,100.0,85.28,91.55,89.77
2016,Minnesota Timberwolves,88.23,75.76,82.05,65.76,87.17,89.7
2016,New Orleans Pelicans,93.18,79.27,73.41,100.0,78.53,89.63
2016,New York Knicks,91.78,75.13,76.76,87.36,84.21,86.52
2016,Oklahoma City Thunder,100.0,74.68,83.14,83.52,87.6,95.83
2016,Orlando Magic,90.65,75.38,84.43,74.4,82.67,87.66
2016,Philadelphia 76ers,91.76,75.59,93.84,95.2,100.0,85.33
2016,Phoenix Suns,94.26,67.34,94.81,73.44,92.91,91.71
2016,Portland Trail Blazers,93.1,75.41,70.49,68.16,80.51,93.58
2016,Sacramento Kings,90.99,73.66,80.11,64.32,90.75,90.83
2016,San Antonio Spurs,91.93,84.6,90.16,86.08,79.46,93.7
2016,Toronto Raptors,89.1,71.31,88.97,72.0,75.51,94.18
2016,Utah Jazz,93.73,68.26,81.62,94.88,86.06,86.32
2016,Washington Wizards,94.12,80.6,82.27,66.56,87.66,89.93
2017,Atlanta Hawks,88.59,87.71,90.13,81.05,92.1,90.7
2017,Boston Celtics,94.72,81.24,86.4,64.21,80.35,92.62
2017,Brooklyn Nets,91.12,79.53,72.48,60.0,89.37,90.24
2017,Charlotte Hornets,95.4,73.87,72.07,72.63,75.62,90.94
2017,Chicago Bulls,94.89,81.14,65.21,69.17,80.47,88.89
2017,Cleveland Cavaliers,91.94,79.71,74.25,58.95,79.98,94.47
2017,Dallas Mavericks,88.57,77.65,69.06,57.74,75.31,89.22
2017,Denver Nuggets,95.7,80.65,78.92,71.28,89.43,92.31
2017,Detroit Pistons,93.87,72.76,71.34,54.14,80.16,89.66
2017,Golden State Warriors,95.29,100.0,85.05,100.0,91.36,100.0
2017,Houston Rockets,91.94,78.73,100.0,76.09,90.98,97.47
2017,Indiana Pacers,92.22,77.26,87.02,74.74,85.01,90.99
2017,Los Angeles Clippers,90.44,76.63,90.55,81.35,79.48,92.58
2017,Los Angeles Lakers,94.25,69.72,78.92,67.52,86.94,89.2
2017,Memphis Grizzlies,86.94,71.88,84.94,71.28,80.85,87.68
2017,Miami Heat,92.01,72.48,72.17,84.06,84.95,88.42
2017,Milwaukee Bucks,86.62,79.46,87.64,85.41,85.07,89.34
2017,Minnesota Timberwolves,87.04,83.23,88.58,65.56,84.33,92.88
2017,New Orleans Pelicans,91.18,85.05,80.79,61.65,85.39,93.51
2017,New York Knicks,94.55,75.45,63.03,80.15,82.09,88.31
2017,Oklahoma City Thunder,100.0,77.37,84.42,81.5,92.1,94.35
2017,Orlando Magic,89.53,82.82,80.48,75.19,86.26,90.91
2017,Philadelphia 76ers,92.64,85.85,87.54,81.65,96.83,91.2
2017,Phoenix Suns,96.97,72.16,69.26,64.21,100.0,89.68
2017,Portland Trail Blazers,95.38,70.83,72.48,77.59,85.01,92.82
2017,Sacramento Kings,89.97,80.51,90.97,68.87,90.17,90.72
2017,San Antonio Spurs,91.12,80.2,80.27,85.86,77.11,90.26
2017,Toronto Raptors,89.33,69.75,81.2,83.61,75.56,92.21
2017,Utah Jazz,89.74,70.97,84.01,76.54,87.69,87.16
2017,Washington Wizards,90.95,84.18,85.77,63.76,82.65,92.83
2018,Atlanta Hawks,93.63,84.23,90.27,78.64,100.0,91.69
2018,Boston Celtics,89.71,88.31,85.9,69.81,81.3,94.6
2018,Brooklyn Nets,92.67,77.7,74.64,69.35,91.39,92.98
2018,Charlotte Hornets,89.73,80.67,79.89,74.15,68.76,93.75
2018,Chicago Bulls,91.36,78.77,86.99,71.21,84.44,88.62
2018,Cleveland Cavaliers,90.69,75.0,71.8,53.41,79.95,93.31
2018,Dallas Mavericks,86.87,76.45,79.89,63.16,80.2,90.15
2018,Denver Nuggets,96.01,93.43,84.81,65.33,85.12,97.07
2018,Detroit Pistons,98.16,74.59,75.52,61.61,77.98,90.77
2018,Golden State Warriors,93.57,100.0,95.19,100.0,87.08,100.0
2018,Houston Rockets,89.65,79.98,88.09,70.59,84.56,97.03
2018,Indiana Pacers,89.06,82.78,93.11,76.63,83.27,91.92
2018,Los Angeles Clippers,92.19,78.7,71.69,67.03,81.18,96.72
2018,Los Angeles Lakers,93.24,78.7,89.62,74.92,89.36,93.82
2018,Memphis Grizzlies,85.47,77.87,88.74,72.14,77.55,87.89
2018,Miami Heat,93.53,76.31,82.51,91.18,82.53,91.95
2018,Milwaukee Bucks,90.08,85.51,84.81,86.53,84.56,93.61
2018,Minnesota Timberwolves,90.04,84.75,94.97,77.55,79.09,93.74
2018,New Orleans Pelicans,93.99,85.1,83.93,82.66,82.66,95.1
2018,New York Knicks,93.24,72.58,76.28,77.71,81.73,90.83
2018,Oklahoma City Thunder,100.0,73.72,100.0,80.65,89.42,94.06
2018,Orlando Magic,90.29,80.53,78.47,73.37,81.61,88.85
2018,Philadelphia 76ers,93.44,88.11,89.4,78.95,94.96,93.69
2018,Phoenix Suns,90.23,76.07,90.38,76.93,92.25,92.56
2018,Portland Trail Blazers,96.97,71.99,73.99,77.4,83.95,94.5
2018,Sacramento Kings,88.43,83.44,84.7,65.33,86.84,93.57
2018,San Antonio Spurs,93.36,84.13,80.11,83.9,76.81,93.26
2018,Toronto Raptors,91.88,70.75,84.81,80.03,77.49,92.93
2018,Utah Jazz,91.63,77.63,86.23,76.01,84.62,89.71
2018,Washington Wizards,88.25,85.75,91.04,74.46,83.21,96.4
2019,Atlanta Hawks,91.37,85.87,86.57,78.17,100.0,92.63
2019,Boston Celtics,95.35,83.73,85.21,84.94,80.96,94.13
2019,Brooklyn Nets,97.59,88.75,70.99,87.82,90.93,95.41
2019,Charlotte Hornets,93.2,84.69,78.33,75.3,81.79,95.58
2019,Chicago Bulls,94.44,86.05,100.0,65.82,89.4,93.14
2019,Cleveland Cavaliers,91.94,81.44,77.31,65.48,85.79,95.36
2019,Dallas Mavericks,94.76,87.38,80.02,69.2,74.56,96.39
2019,Denver Nuggets,94.41,97.86,87.58,83.59,86.17,97.77
2019,Detroit Pistons,92.94,88.34,83.86,75.97,85.79,94.09
2019,Golden State Warriors,91.86,97.23,90.52,99.15,88.07,97.01
2019,Houston Rockets,95.18,77.05,92.21,82.74,83.06,99.64
2019,Indiana Pacers,92.16,86.31,95.15,73.94,79.76,94.13
2019,Los Angeles Clippers,97.42,86.24,87.92,77.83,92.07,100.0
2019,Los Angeles Lakers,97.72,92.21,89.05,93.06,94.42,97.49
2019,Memphis Grizzlies,91.49,89.78,87.13,80.37,96.38,92.59
2019,Miami Heat,96.72,90.44,87.7,85.96,88.52,96.02
2019,Milwaukee Bucks,96.65,91.22,97.18,98.82,88.52,99.77
2019,Minnesota Timberwolves,93.99,82.58,92.66,86.63,80.2,98.3
2019,New Orleans Pelicans,97.55,96.2,91.65,98.65,91.31,99.07
2019,New York Knicks,95.35,83.17,78.89,86.29,88.26,92.31
2019,Oklahoma City Thunder,95.12,80.11,91.87,84.6,84.52,97.36
2019,Orlando Magic,91.28,85.76,90.74,95.09,82.49,90.62
2019,Philadelphia 76ers,100.0,100.0,93.0,91.03,92.07,97.36
2019,Phoenix Suns,91.84,91.11,84.76,67.17,92.77,95.03
2019,Portland Trail Blazers,98.1,74.65,75.4,95.94,80.46,97.54
2019,Sacramento Kings,89.34,82.25,86.0,72.08,85.85,90.46
2019,San Antonio Spurs,95.99,88.34,86.23,97.29,79.51,95.46
2019,Toronto Raptors,96.4,92.55,82.05,100.0,83.95,98.78
2019,Utah Jazz,96.99,83.36,80.93,82.4,93.72,94.47
2019,Washington Wizards,90.49,99.52,89.62,70.39,89.66,98.14
2020,Atlanta Hawks,91.58,93.03,94.85,78.47,94.89,92.71
2020,Boston Celtics,92.65,92.71,94.73,75.42,91.96,93.06
2020,Brooklyn Nets,93.32,84.99,83.35,74.58,94.89,91.89
2020,Charlotte Hornets,93.87,85.43,81.32,88.64,86.38,91.24
2020,Chicago Bulls,98.98,89.09,85.87,88.31,91.69,91.92
2020,Cleveland Cavaliers,94.87,85.63,83.83,69.49,90.6,94.04
2020,Dallas Mavericks,92.67,89.93,90.78,75.42,86.31,94.9
2020,Denver Nuggets,98.13,93.15,94.85,84.58,96.73,98.21
2020,Detroit Pistons,95.74,84.08,86.47,71.36,88.62,91.58
2020,Golden State Warriors,96.16,100.0,99.16,93.39,96.93,100.0
2020,Houston Rockets,96.45,88.34,96.77,80.51,98.16,98.64
2020,Indiana Pacers,96.54,84.51,90.42,86.78,93.73,93.48
2020,Los Angeles Clippers,94.43,90.88,92.93,84.92,92.64,96.21
2020,Los Angeles Lakers,97.8,87.14,88.86,84.58,93.73,94.99
2020,Memphis Grizzlies,93.09,83.2,100.0,82.2,91.76,91.17
2020,Miami Heat,92.27,83.56,92.46,90.68,91.01,93.15
2020,Milwaukee Bucks,93.89,90.45,96.17,90.0,93.26,93.03
2020,Minnesota Timberwolves,95.18,87.74,94.01,75.59,96.59,94.92
2020,New Orleans Pelicans,94.03,89.17,88.98,85.76,89.71,93.39
2020,New York Knicks,93.74,83.28,87.66,78.14,90.26,93.63
2020,Oklahoma City Thunder,100.0,83.28,96.05,100.0,98.23,97.64
2020,Orlando Magic,94.69,85.95,85.99,80.85,93.39,91.8
2020,Philadelphia 76ers,95.25,90.76,98.8,86.27,98.23,91.97
2020,Phoenix Suns,95.25,87.54,90.18,80.34,100.0,96.57
2020,Portland Trail Blazers,96.25,83.96,81.68,79.49,89.1,95.12
2020,Sacramento Kings,94.51,84.2,91.26,73.05,98.64,94.0
2020,San Antonio Spurs,95.76,93.47,89.82,86.44,87.74,96.01
2020,Toronto Raptors,93.45,85.47,86.47,81.36,88.49,95.0
2020,Utah Jazz,94.74,87.9,93.77,89.66,95.16,92.95
2020,Washington Wizards,93.78,89.21,92.46,81.36,96.25,93.12
